PDBCode,Resolution,Affinity,pKd pKi pIC50,Release Year,Enzyme,Ligand,Ecnumber,PubmedID,PubchemSID,Reference,UniProtKB AC,AffinityType,RootNumb,AffinityGivenUnits,Affinity_uM
1AG9,1.8,Kd=1nM,9.0,1997,FLAVODOXIN,FMN,E.C.-.-.-.-,9416602.0,46391423,"Protein Sci. v6 pp. 2525-37, 1997",P61949,Kd,1.0,nM,0.001
1AKQ,1.9,Kd=0.79nM,9.1000004,1998,FLAVODOXIN,FMN ox,E.C.-.-.-.-,9874201.0,46391441,"Eur.J.Biochem. v258 pp. 362-71, 1998",P00323,Kd,0.79,nM,0.00079
1AKR,1.58,Kd=0.82nM,9.090000199999999,1998,FLAVODOXIN,FMN ox,E.C.-.-.-.-,9622492.0,46391442,"Biochemistry v37 pp. 8405-16, 1998",P00323,Kd,0.82,nM,0.00082
1AKT,1.8,Kd=3.2nM,8.489999800000001,1998,FLAVODOXIN,FMN ox,E.C.-.-.-.-,9622492.0,46391443,"Biochemistry v37 pp. 8405-16, 1998",P00323,Kd,3.2,nM,0.0032
1AKU,1.9,Kd=746nM,6.130000099999999,1998,FLAVODOXIN,FMN hq,E.C.-.-.-.-,,46391444,Biochemistryv41;pp.10950-10962,P00323,Kd,746.0,nM,0.746
1AKV,2.0,Kd=0.0026nM,11.59,1998,FLAVODOXIN,FMN sq,E.C.-.-.-.-,,46391445,Biochemistryv41;pp.10950-10962,P00323,Kd,0.0026,nM,2.5999999999999997e-06
1AKW,1.75,Kd=2.6nM,8.590000199999999,1998,FLAVODOXIN,FMN ox,E.C.-.-.-.-,9622492.0,46391446,"Biochemistry v37 pp. 8405-16, 1998",P00323,Kd,2.6,nM,0.0026
1AZL,1.8,Kd=2.4nM,8.619999900000002,1998,FLAVODOXIN,FMN ox,E.C.-.-.-.-,9622492.0,46391484,"Biochemistry v37 pp. 8405-16, 1998",P00323,Kd,2.4,nM,0.0024
1BKJ,1.8,Kd=0.17uM,6.77,1999,NADPH-FLAVIN OXIDOREDUCTASE,FMN,E.C.1.6.8.1,8885832.0,46391550,"Biochemistry v35 pp. 13531-9, 1996",Q56691,Kd,0.17,uM,0.17
1C7E,2.25,Kd=505nM,6.3000002,2000,FLAVODOXIN,FMN hq,E.C.-.-.-.-,12206666.0,46391632,"Biochemistry v41 pp. 10950-62, 2002",P00323,Kd,505.0,nM,0.505
1C7F,2.0,Kd=0.30nM,9.5200005,2000,FLAVODOXIN,FMN ox,E.C.-.-.-.-,12206666.0,46391633,"Biochemistry v41 pp. 10950-62, 2002",P00323,Kd,0.3,nM,0.0003
1CZK,1.9,Kd=1.5nM,8.819999699999999,1999,FLAVODOXIN,FMN ox,E.C.-.-.-.-,10610792.0,46391684,"J.Mol.Biol. v294 pp. 725-43, 1999",P10340,Kd,1.5,nM,0.0015
1CZL,1.8,Kd=0.71nM,9.1499996,1999,FLAVODOXIN,FMN sq,E.C.-.-.-.-,10610792.0,46391685,"J.Mol.Biol. v294 pp. 725-43, 1999",P10340,Kd,0.71,nM,0.0007099999999999999
1CZO,1.85,Kd=28uM,4.5500002,1999,FLAVODOXIN,FMN hq,E.C.-.-.-.-,10610792.0,46391686,"J.Mol.Biol. v294 pp. 725-43, 1999",P10340,Kd,28.0,uM,28.0
1CZR,1.9,Kd=1.0nM,9.0,1999,FLAVODOXIN,FMN ox,E.C.-.-.-.-,10610792.0,46391687,"J.Mol.Biol. v294 pp. 725-43, 1999",P10340,Kd,1.0,nM,0.001
1D04,1.85,Kd=26uM,4.5900002,1999,FLAVODOXIN,FMN hq,E.C.-.-.-.-,10610792.0,46391688,"J.Mol.Biol. v294 pp. 725-43, 1999",P10340,Kd,26.0,uM,26.0
1E6E,2.3,Kd=0.86uM,6.0700002,2001,ADRENOXIN REDUCTASE,Adrenoxin,E.C.1.18.1.2,11053423.0,0,(2004) J Biol Chem 279:34269-34276,P00257 P08165,Kd,0.86,uM,0.86
