PDBCode,Resolution,Affinity,pKd pKi pIC50,Release Year,Enzyme,Ligand,Ecnumber,PubmedID,PubchemSID,Reference,UniProtKB AC,AffinityType,RootNumb,AffinityGivenUnits,Affinity_uM
1AL7,2.5999999,Ki=16nM,7.8000002,1997,GLYCOLATE OXIDASE,HST,E.C.1.1.3.15,9144771.0,46391447,"Protein Sci. v6 pp. 1009-15, 1997",P05414,Ki,16.0,nM,0.016
1AL8,2.2,Ki=4.8uM,5.3200002,1997,GLYCOLATE OXIDASE,DHP,E.C.1.1.3.15,9144771.0,46391448,"Protein Sci. v6 pp. 1009-15, 1997",P05414,Ki,4.8,uM,4.8
1KF6,2.7,Ki=0.2uM,6.6999998,2002,E. COLI QUINOL-FUMARATE REDUCTASE,HQO,E.C.1.3.99.1,11850430.0,53812537,"The Journal of biological chemistry. (2002) 277, pp. 16124-30",P00363 P0A8Q0 P0A8Q3 P0AC47,Ki,0.2,uM,0.2
1KFY,3.5999999,Ki=5.2uM,5.2839971,2002,E. COLI QUINOL-FUMARATE REDUCTASE,BRS,E.C.1.3.99.1,11850430.0,0,(2002) J.Biol.Chem. Vol. 277: pp. 16124-16130,P00363 P0A8Q0 P0A8Q3 P0AC47,Ki,5.2,uM,5.2
1KQB,1.8,Ki=0.1mM,4.0,2002,OXYGEN-INSENSITIVE NAD(P)H NITROREDUCTASE,BEZ,E.C.1.6.6.0,11805110.0,46392378,"J.Biol.Chem. v277 pp. 11513-20, 2002",Q01234,Ki,0.1,mM,100.0
2UXN,2.72,Ki=120nM,6.920818799999999,2007,"LYSINE-SPECIFIC HISTONE DEMETHYLASE 1, LSD1",235-mer,E.C.1.-.-.-,17529991.0,0,(2007) Nat.Struct.Mol.Biol. Vol. 14: pp. 535,O60341 Q9UKL0 P68431,Ki,120.0,nM,0.12
2UXX,2.74,Ki=500uM,3.3,2007,LYSINE-SPECIFIC HISTONE DEMETHYLASE 1,FAJ,E.C.-.-.-.-,17569509.0,53813030,Biochemistry  46: 8058,O60341 Q9UKL0,Ki,500.0,uM,500.0
2V1D,3.0999999,Ki=0.05uM,7.3000002,2007,LSD1-COREST,pLys4Met H3 peptide,E.C.1.-.-.-,17537733.0,0,"The Journal of biological chemistry. (2007) 282, pp. 20070-4",Q16695 O60341 Q9UKL0,Ki,0.05,uM,0.05
2W54,3.3,Ki=103.6nM,6.9846401,2008,WILD-TYPE R.CAPSULATUS XDH,HHR,E.C.1.1.1.204,19109249.0,0,(2009) J.Biol.Chem. Vol. 284: pp. 8768-8776,O54050 O54051,Ki,103.6,nM,0.1036
2XAF,3.25,Ki=23uM,4.6399999,2010,LYSINE-SPECIFIC HISTONE DEMETHYLASE 1,TCF,E.C.1.-.-.-,20415477.0,0,(2010) J.Am.Chem.Soc. Vol. 132: pp. 6827-6833,O60341 Q9UKL0,Ki,23.0,uM,23.0
